amount,code行数,comment数,正样本count,正样本f1,正样本pre,正样本rec,负样本count,负样本f1,负样本pre,负样本rec
693,,1.0,693,0.5374823196605375,0.5270457697642164,0.5483405483405484,11046,0.970358955765047,0.9715919404610637,0.9691290965055224
277,,2.0,554,0.5379023883696781,0.6332518337408313,0.4675090252707581,5138,0.9572977641301219,0.9441605148589817,0.9708057609964967
153,,3.0,459,0.5444887118193892,0.6972789115646258,0.4466230936819172,3488,0.9519675115530039,0.9304681084040515,0.9744839449541285
85,,4.0,340,0.54673721340388,0.6828193832599119,0.45588235294117646,2137,0.9414178253932072,0.9177777777777778,0.9663079082826392
68,,5.0,340,0.671304347826087,0.8212765957446808,0.5676470588235294,1492,0.9388151505341534,0.9079524107701941,0.9718498659517426
61,,6.0,366,0.8205128205128205,0.9158249158249159,0.7431693989071039,1112,0.9481029219363281,0.9204064352243861,0.9775179856115108
49,,7.0,343,0.8078175895765473,0.915129151291513,0.7230320699708455,865,0.9345172031076581,0.8986125933831377,0.9734104046242774
26,,8.0,208,0.7580174927113703,0.9629629629629629,0.625,621,0.9368821292775665,0.8876080691642652,0.9919484702093397
18,,9.0,162,0.84,0.9130434782608695,0.7777777777777778,355,0.9346049046321526,0.9050131926121372,0.9661971830985916
16,,10.0,160,0.7675276752767527,0.9369369369369369,0.65,424,0.9297658862876254,0.8816067653276956,0.9834905660377359
5,,11.0,55,0.7422680412371134,0.8571428571428571,0.6545454545454545,118,0.8995983935742973,0.8549618320610687,0.9491525423728814
12,,12.0,144,0.8821292775665399,0.9747899159663865,0.8055555555555556,245,0.9398058252427185,0.8962962962962963,0.9877551020408163
3,,13.0,39,0.6101694915254238,0.9,0.46153846153846156,85,0.8783068783068784,0.7980769230769231,0.9764705882352941
9,,14.0,126,0.8127853881278538,0.956989247311828,0.7063492063492064,253,0.9239332096474955,0.8706293706293706,0.9841897233201581
4,,15.0,60,0.9217391304347826,0.9636363636363636,0.8833333333333333,112,0.9606986899563319,0.9401709401709402,0.9821428571428571
